from_stop_id,to_stop_id,transfer_type,from_trip_id,to_trip_id
U454Z301,U454Z2P,1,1301_78_180430,211_94_180430
U454Z301,U454Z2P,1,1301_18_180430,211_97_180501
U454Z301,U454Z2P,1,1301_32_180430,211_98_180501
U454Z301,U454Z2P,1,1301_74_180430,211_72_180501
U454Z301,U454Z2P,1,1301_84_180501,211_11_180501
U454Z301,U454Z2P,1,1301_94_180501,211_49_180501
U454Z301,U454Z2P,1,1301_96_180501,211_94_180501
U454Z301,U454Z2P,1,1301_87_180501,211_90_180501
U454Z301,U454Z2P,1,1301_89_180501,211_55_180501
U454Z301,U454Z2P,1,1301_42_180430,211_104_180501
U454Z301,U454Z2P,1,1301_16_180430,211_105_180501
U454Z301,U454Z2P,1,1301_3_180430,211_110_180501
U454Z301,U454Z2P,1,1301_92_180501,211_112_180501
U454Z301,U454Z2P,1,1301_5_180430,211_35_180501
U454Z301,U454Z2P,1,1301_59_180430,211_68_180501
U454Z301,U454Z2P,1,1301_20_180430,211_70_180501
U454Z301,U454Z2P,1,1301_7_180430,211_117_180501
U454Z301,U454Z2P,1,1301_9_180430,211_118_180501
U454Z301,U454Z2P,1,1301_63_180430,211_119_180501
U454Z301,U454Z2P,1,1301_24_180430,211_121_180501
U454Z301,U454Z2P,1,1301_11_180430,211_122_180501
U454Z301,U454Z2P,1,1301_65_180430,211_123_180501
U454Z301,U454Z2P,1,1301_26_180430,211_124_180501
U454Z301,U454Z2P,1,1301_67_180430,211_21_180430
U454Z301,U454Z2P,1,1307_124_180430,211_78_180611
U454Z301,U454Z2P,1,1307_101_180430,211_80_180611
U454Z301,U454Z2P,1,1301_51_180430,211_82_180611
U454Z301,U454Z2P,1,1307_133_180430,211_17_180611
U454Z301,U454Z2P,1,1307_93_180430,211_19_180611
U454Z301,U454Z2P,1,1301_67_180430,211_21_180611
U454Z301,U454Z4P,1,1301_9_180430,212_54_180430
U454Z301,U454Z4P,1,1301_38_180430,212_56_180430
U454Z301,U454Z4P,1,1301_63_180430,212_58_180430
U454Z301,U454Z4P,1,1301_49_180430,212_60_180430
U454Z301,U454Z4P,1,1301_24_180430,212_62_180430
U454Z301,U454Z4P,1,1301_78_180430,212_64_180430
U454Z301,U454Z4P,1,1301_11_180430,212_66_180430
U454Z301,U454Z4P,1,1301_40_180430,212_68_180430
U454Z301,U454Z4P,1,1301_65_180430,212_70_180430
U454Z301,U454Z4P,1,1301_51_180430,212_72_180430
U454Z301,U454Z4P,1,1301_26_180430,212_74_180430
U454Z301,U454Z4P,1,1301_80_180430,212_76_180430
U454Z301,U454Z4P,1,1301_13_180430,212_78_180430
U454Z301,U454Z4P,1,1301_42_180430,212_80_180430
U454Z301,U454Z4P,1,1301_67_180430,212_82_180430
U454Z301,U454Z4P,1,1301_53_180430,212_84_180430
U454Z301,U454Z3P,1,1301_1_180430,221_2_180501
U454Z301,U454Z3P,1,1301_16_180430,221_5_180430
U454Z301,U454Z3P,1,1301_18_180430,221_15_180430
U454Z301,U454Z3P,1,1301_47_180430,221_17_180430
U454Z301,U454Z3P,1,1301_5_180430,221_19_180430
U454Z301,U454Z3P,1,1301_32_180430,221_21_180430
U454Z301,U454Z3P,1,1307_127_180430,221_24_180430
U454Z301,U454Z3P,1,1307_85_180430,221_26_180430
U454Z301,U454Z3P,1,1301_59_180430,221_28_180430
U454Z301,U454Z3P,1,1301_34_180430,221_30_180430
U454Z301,U454Z3P,1,1301_61_180430,221_32_180430
U454Z301,U454Z3P,1,1307_89_180430,221_34_180430
U454Z301,U454Z3P,1,1307_107_180430,221_36_180430
U454Z301,U454Z3P,1,1307_124_180430,221_38_180430
U454Z301,U454Z3P,1,1307_118_180430,221_40_180430
U454Z301,U454Z3P,1,1301_13_180430,221_42_180430
U454Z301,U454Z3P,1,1301_53_180430,221_44_180430
U454Z301,U454Z3P,1,1301_15_180430,221_46_180430
U454Z301,U454Z3P,1,1307_112_180430,221_49_180430
U454Z301,U454Z3P,1,1307_96_180430,221_51_180430
U454Z301,U454Z3P,1,1301_20_180430,221_53_180430
U454Z301,U454Z3P,1,1301_74_180430,221_55_180430
U454Z301,U454Z3P,1,1301_22_180430,221_57_180430
U454Z301,U454Z3P,1,1301_76_180430,221_59_180430
U454Z301,U454Z3P,1,1307_99_180430,221_61_180430
U454Z301,U454Z3P,1,1307_91_180430,221_63_180430
U454Z301,U454Z3P,1,1307_109_180430,221_65_180430
U454Z301,U454Z3P,1,1301_26_180430,221_67_180430
U454Z301,U454Z3P,1,1301_42_180430,221_69_180603
U454Z301,U454Z3P,1,1301_28_180430,221_71_180603
U454Z301,U454Z3P,1,1301_55_180430,221_73_180603
U454Z301,U454Z3P,1,1301_45_180430,221_74_180430
U454Z301,U454Z3P,1,1307_119_180430,221_76_180430
U454Z301,U454Z3P,1,1307_104_180430,221_78_180430
U454Z301,U454Z3P,1,1301_72_180430,221_80_180430
U454Z301,U454Z3P,1,1301_7_180430,221_82_180430
U454Z301,U454Z3P,1,1301_36_180430,221_84_180430
U454Z301,U454Z3P,1,1307_122_180430,221_86_180430
U454Z301,U454Z3P,1,1307_116_180430,221_88_180430
U454Z301,U454Z3P,1,1307_101_180430,221_90_180430
U454Z301,U454Z3P,1,1307_133_180430,221_92_180430
U454Z301,U454Z3P,1,1307_93_180430,221_93_180430
U454Z301,U454Z3P,1,1301_67_180430,221_95_180430
U454Z301,U454Z3P,1,1301_44_180430,221_97_180430
U454Z301,U454Z3P,1,1307_131_180430,221_99_180430
U454Z301,U454Z3P,1,1307_129_180430,221_101_180430
U454Z301,U454Z3P,1,1301_45_180430,221_74_180505
U454Z301,U454Z3P,1,1301_57_180430,221_104_180501
U454Z301,U454Z3P,1,1301_47_180430,221_106_180501
U454Z301,U454Z3P,1,1301_59_180430,221_108_180501
U454Z301,U454Z3P,1,1301_34_180430,221_110_180501
U454Z301,U454Z3P,1,1301_61_180430,221_112_180501
U454Z301,U454Z3P,1,1301_84_180501,221_114_180501
U454Z301,U454Z3P,1,1301_63_180430,221_116_180501
U454Z301,U454Z3P,1,1301_96_180501,221_118_180501
U454Z301,U454Z3P,1,1301_65_180430,221_120_180501
U454Z301,U454Z3P,1,1301_89_180501,221_122_180501
U454Z301,U454Z3P,1,1301_67_180430,221_95_180501
U454Z301,U454Z3P,1,1301_44_180430,221_97_180501
U454Z301,U454Z3P,1,1301_1_180430,221_2_180430
U454Z301,U454Z3P,1,1301_18_180430,221_126_180501
U454Z301,U454Z3P,1,1301_32_180430,221_128_180501
U454Z301,U454Z3P,1,1301_20_180430,221_130_180501
U454Z301,U454Z3P,1,1301_74_180430,221_132_180501
U454Z301,U454Z3P,1,1301_22_180430,221_134_180501
U454Z301,U454Z3P,1,1301_94_180501,221_136_180501
U454Z301,U454Z3P,1,1301_24_180430,221_138_180501
U454Z301,U454Z3P,1,1301_87_180501,221_140_180501
U454Z301,U454Z3P,1,1301_26_180430,221_142_180501
U454Z301,U454Z3P,1,1301_92_180501,221_146_180501
U454Z301,U454Z3P,1,1301_5_180430,221_148_180501
U454Z301,U454Z3P,1,1301_72_180430,221_150_180501
U454Z301,U454Z3P,1,1301_7_180430,221_152_180501
U454Z301,U454Z3P,1,1301_36_180430,221_154_180501
U454Z301,U454Z3P,1,1301_9_180430,221_156_180501
U454Z301,U454Z3P,1,1301_85_180501,221_158_180501
U454Z301,U454Z3P,1,1301_11_180430,221_160_180501
U454Z301,U454Z3P,1,1301_98_180501,221_162_180501
U454Z301,U454Z3P,1,1301_13_180430,221_42_180501
U454Z301,U454Z3P,1,1301_53_180430,221_44_180501
U454Z301,U454Z3P,1,1301_15_180430,221_46_180501
U454Z301,U454Z3P,1,1301_57_180430,221_164_180610
U454Z301,U454Z3P,1,1301_47_180430,221_165_180610
U454Z301,U454Z3P,1,1301_59_180430,221_166_180610
U454Z301,U454Z3P,1,1301_34_180430,221_167_180610
U454Z301,U454Z3P,1,1301_61_180430,221_168_180610
U454Z301,U454Z3P,1,1301_84_180501,221_169_180610
U454Z301,U454Z3P,1,1301_63_180430,221_170_180610
U454Z301,U454Z3P,1,1301_96_180501,221_171_180610
U454Z301,U454Z3P,1,1301_65_180430,221_172_180610
U454Z301,U454Z3P,1,1301_89_180501,221_173_180610
U454Z301,U454Z3P,1,1301_67_180430,221_174_180610
U454Z301,U454Z3P,1,1301_44_180430,221_175_180610
U454Z301,U454Z3P,1,1301_100_180501,221_175_180610
U454Z301,U454Z3P,1,1301_18_180430,221_177_180610
U454Z301,U454Z3P,1,1301_32_180430,221_178_180610
U454Z301,U454Z3P,1,1301_20_180430,221_179_180610
U454Z301,U454Z3P,1,1301_74_180430,221_180_180610
U454Z301,U454Z3P,1,1301_22_180430,221_181_180610
U454Z301,U454Z3P,1,1301_94_180501,221_182_180610
U454Z301,U454Z3P,1,1301_24_180430,221_183_180610
U454Z301,U454Z3P,1,1301_87_180501,221_184_180610
U454Z301,U454Z3P,1,1301_26_180430,221_185_180610
U454Z301,U454Z3P,1,1301_42_180430,221_186_180610
U454Z301,U454Z3P,1,1301_28_180430,221_187_180610
U454Z301,U454Z3P,1,1301_55_180430,221_188_180610
U454Z301,U454Z3P,1,1301_92_180501,221_190_180610
U454Z301,U454Z3P,1,1301_5_180430,221_191_180610
U454Z301,U454Z3P,1,1301_72_180430,221_192_180610
