stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
U4321Z1,"Kladno,ČSAD",50.13029,14.10446,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,ČSAD",0,,2,A
U4321Z2,"Kladno,ČSAD",50.13021,14.10425,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,ČSAD",0,,2,B
U4322Z1,"Kladno,Vaníčkova",50.13343,14.10185,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Vaníčkova",0,,2,A
U4322Z2,"Kladno,Vaníčkova",50.13287,14.10180,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Vaníčkova",0,,2,B
U4323Z1,"Kladno,Zimní stadion",50.13708,14.09517,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Zimní stadion",0,,2,A
U4323Z2,"Kladno,Zimní stadion",50.13505,14.09630,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Zimní stadion",0,,2,B
U4324Z1,"Kladno,Nemocnice",50.14111,14.09225,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Nemocnice",0,,2,A
U4324Z2,"Kladno,Nemocnice",50.14259,14.09049,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Nemocnice",0,,2,B
U4325Z1,"Kladno,U Nemocnice",50.14281,14.08803,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,U Nemocnice",0,,2,A
U4325Z2,"Kladno,U Nemocnice",50.14272,14.08858,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,U Nemocnice",0,,2,B
U4325Z3,"Kladno,U Nemocnice",50.14269,14.08767,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,U Nemocnice",0,,2,C
U4325Z4,"Kladno,U Nemocnice",50.14258,14.08815,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,U Nemocnice",0,,2,D
U4326Z1,"Kladno,Vítězná",50.14075,14.07518,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Vítězná",0,,2,A
U4326Z2,"Kladno,Vítězná",50.14047,14.07513,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Vítězná",0,,2,B
